id;title;author;author_id;publisher;publisher_id;date;pubPlace;pubPlace_id;pages;stamp
Moreau962_GBOOKS;Défaite (la) d’une partie de la cavalerie du régiment de Corinthe et de celui d’infanterie du duc de Bouillon au pont Antoni (sic) et sur le chemin de Paris à Lonjumeau, avec la prise d’un convoi de soixante charrettes chargées de farine, quatre cents chevaux et autre butin, où les Parisiens ont eu plus de cinquante des leurs tués et plus de cent faits prisonniers.;;;;;1649;Saint-Germain-En-Laye;geonames:2979783;8;True
Moreau963_GBOOKS;Défaite (la) d’une partie du convoi des Parisiens dans le village de Vitry, où ils ont eu cent ou six vingts hommes tués et plus de quarante faits prisonniers, par le maréchal de Gramont, commandant l'armée du roi.;;;;;;Saint-Germain-En-Laye;geonames:2979783;4;True
Moreau3035-iii_MAZ;Recueil de diverses pièces curieuses de ce temps, sur l'impritné à Paris.;;;Berthelin, Jean;isni:0000000066454743;1649;Rouen;geonames:2982652;1;True
Moreau3035-iv_MAZ;Recueil de diverses pièces curieuses de ce temps, sur l'impritné à Paris.;;;Berthelin, Jean;isni:0000000066454743;1649;Rouen;geonames:2982652;1;True
Moreau1suppl81_MAZ;Déclaration (la) de monseigneur le prince de Conty, de messieurs les généraux, etc;;isni:0000000121755355;Viret, Jean;isni:0000000108628239;1649;Rouen;geonames:2982652;4;False
Moreau1644_MAZ;Histoire (l') du temps, ou le Véritable récit de ce qui s'est passé dans le Parlement, depuis le mois d'août 1647 jusques au mois de novembre 1648, avec les harangues et les avis différents qui ont été proposés dans les affaires qu'on y a solennellement traitées.;Johannes, Nicolas;isni:0000000078186360;Besongne, Jacques;isni:0000000109055604;1649;Rouen;geonames:2982652;240;True
Moreau1460_GBOOKS;Fureur (la) des Normands contre les mazarinistes.;;;Besongne, Jacques;isni:0000000109055604;1649;Rouen;geonames:2982652;16;False
Moreau2288_GBOOKS;Lettres et arrêts pour la jonction des parlements du royaume et affaires présentes, et la très humble remontrance du Parlement au roy et à la reyne régente.;;isni:0000000480502587;Petit Val (Du), David;isni:0000000362042460;1649;Rouen;geonames:2982652;40;False
Moreau911_MAZ;Déclaration du roi, donnée sur les mouvements arrivés en sa province de Normandie, lue, publiée et enregistrée à Rouen, en parlement, le 9 avril 1649.;;isni:0000000480502587;Du Petitval, David;isni:0000000362042460;1649;Rouen;geonames:2982652;23;True
Moreau61_GALL;Almanach de la cour pour l'an 1649, fait par M. François le Vautier, grand spéculateur des choses présentes.;Le Vautier, François;isni:0000000061378091;;;1649;Rouen;geonames:2982652;6;True
Moreau752_MAZ;Congé (le) burlesque de l’armée normande.;Ferrand, David;isni:0000000121174331;;;1649;Rouen;geonames:2982652;4;True
Moreau1380_GALL;Festin (le) et plaisant entretien de deux Bourguignottes, sur l’arrivée de la cour à Dijon.;;;;;1649;Rouen;geonames:2982652;7;True
Moreau2542_GALL;Nouvelle (la) courante. A la reine.;;;;;1649;Rouen;geonames:2982652;4;True
Moreau3595_GALL;Satyre sur les troubles de Paris, en vers burlesques.;;;;;1649;Rouen;geonames:2982652;12;True
Moreau2suppl185_MAZ;Le Roman des esprits revenus à Saint-Germain, avec le Qu'as-tu vu de la Cour ou la Contre-vérité.;;;;;1649;Rouen;geonames:2982652;16;False
Moreau1242_GBOOKS;Entretien (l') familier du roi et de la reine régente, sa mère, sur les affaires du temps.;;;;;1649;Rouen;geonames:2982652;12;True
Moreau3053-ii_MAZ;Recueil des pièces secrètes de ce temps.;;;;;1649;Rouen;geonames:2982652;4;True
Moreau3053-i_MAZ;Recueil des pièces secrètes de ce temps.;;;;;1649;Rouen;geonames:2982652;84;True
Moreau3035-ii_MAZ;Recueil de diverses pièces curieuses de ce temps, sur l'impritné à Paris.;;;;;1649;Rouen;geonames:2982652;1;True
M15416_MAZ;Prediction où se voit comme le roy Charles II. Roy de la Grand' Bretagne doit estre remis aux royaumes d'Angleterre, Escosse & Irlande apres la mort de son pere. Avec la conference du feu Roy & le docteur Henderson Escossois touchant le gouvernement de l'Eglise anglicane. Ensemble diverses pieces de quoy le contenu est en la page suivante. Le tout en suitte du portrait royal.;;isni:0000000118675506;Dubosc, Jean II;;1650;Rouen;geonames:2982652;8;False
Moreau804_GBOOKS;Coup (le) d’État ou le Vrai manifeste de monseigneur de Longueville, envoyé à Son Altesse Royale, sur le retour du cardinal Mazarin au conseil de Sa Majesté.;;;Cailloué, Jacques;isni:0000000066450734;1652;Rouen;geonames:2982652;7;True
Moreau2796_GBOOKS;Plaintes et réflexions politiques sur la harangue de M. l'archevêque de Rouen faite au roi dans la ville de Tours, au nom du clergé de France et de vingt quatre évêques suivant la cour qui l'accompagnoient, contre le Parlement de Paris, en faveur du cardinal Mazarin proscrit et légitimement condamné par plusieurs arrêts donnés contre lui, où il est démontré que le Parlement est juge naturel et légitime des cardinaux, archevêques, évêques, abbés et autres ecclésiastiques du royaume, tant séculiers que réguliers.;;;;;1652;Rouen;geonames:2982652;22;True
Moreau930_GBOOKS;Déclaration du roi, portant pacification pour la tranquillité publique, avec la Déclaration du roi pour le rétablissement du parlement en la ville de Paris, vérifiées en parlement, toutes les chambres assemblées au château du Louvre, publiées, le roi y séant, le 22 octobre 1652.;De Bourbon, Louis;isni:0000000121209573;;;;Rouen;geonames:2982652;8;True
Moreau199_MAZ;Arrêt de la cour de parlement de Dauphiné sur l’exécution des déclarations de Sa Majesté, concernant le paiement des tailles , nonobstant l’ordonnance faite par le sieur Le Tillier, conseiller du roi en ses conseils etintendantdesfinances de France.;;isni:0000000106573561;;;1650;Sans Lieu;geonames:2982652;4;False
Moreau2124_MAZ;Lettre du Parlement de Bordeaux écrite au Parlement de Paris, avec le registre dudit Parlement présenté par le député d'icelui audit Parlement de Paris, le 6 juillet 1650, sur l'infraction de la paix faite par le duc d'Épernon, la liberté de messieurs les princes et les procédures violentes du sieur Froulé.;;isni:0000000119572170;;;1650;Sans Lieu;geonames:2982652;8;False
Moreau2056_GBOOKS;Lettre de Son Altesse Royale écrite au roi, avec la Réponse du roi à Son Altesse Royale.;France (De), Gaston;isni:0000000121336441;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;7;True
Moreau3960_GBOOKS;Véritable (la) réponse faite par le roi à la lettre envoyée par Son Altesse Royale, du 27 août 1652, touchant les motifs de l'accommodement à la paix générale.;Plessis-Guénégaud, Henri du;isni:0000000121430729;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;4;True
Moreau2suppl84_GBOOKS;Extrait des registres du parlement, séant à Pontoise, contenant la relation faite par M. le président de Novion, de ce qui s'est passé au sujet de léloignement du cardinal Mazarin.;;isni:0000000121755355;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;4;False
Moreau2173_GBOOKS;Lettre du roi envoyée à messieurs les colonels de sa bonne ville de Paris.;;isni:0000000383255772;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;6;False
Moreau1018_GBOOKS;Dernière déclaration du roi, portant attribution des affaires de la chambre de l’édit à la cour de parlement de Paris, transférée à Pontoise, vérifiée en parlement, le premier jour d’octobre 1652, avec la Lettre de M. de Mondejeux (sic), gouverneur d'Arras, écrite à Sa Majesté sur le sujet des présentes affaires.;;isni:0000000383255772;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;8;True
Moreau1184_MAZ;Édit du roi portant amnistie de tout ce qui s’est passé à l'occasion des présents mouvements, à la charge de se remettre, dans trois jours, dans l’obéissance du roi, vérifié en parlement le 26 août 1652.;;isni:0000000383255772;Courant, Julien;isni:0000000005438555;1652;Pontoise;geonames:2986140;15;True
Moreau1552_GBOOKS;Harangue de M. le chancelier, faite à Sa Majesté, sur le danger qu 'il y a de quelque changement d 'État, à moins que la paix ne soit bientôt conclue.;de l'Hôpital, François;isni:0000000123455225;;;1652;Pontoise;geonames:2986140;16;True
Moreau338_GBOOKS;Arrêt du parlement de Pontoise, du 5 octobre 1652, rendu sur les plaintes, faites, en icelui, par les principaux de la cour contre trois sortes de créatures.;;viaf:3346153653285955900004;;;1652;Pontoise;geonames:2986140;8;True
Moreau928_GBOOKS;Déclaration du roi, portant injonction à tous les officiers du parlement qui sont à Paris, de se rendre, dans trois jours, dans la ville de Pontoise, à peine de suppression de leurs charges.;De Bourbon, Louis;isni:0000000121209573;Courant, Julien;isni:0000000005438555;;Pontoise;geonames:2986140;7;False
Moreau1686_GALL;Importantes vérités pour les Parlements, protecteurs de l'État, conservateurs des lois et pères du peuple, tirées des anciennes ordonnances et des lois fondamentales du royaume, dédiées au roi par J. A. D. Utcunquè ferent hoc fata, Vincit amor patria, laudumque immensa cupido.;Jobert, Jean;isni:0000000000127336;Villery, Jacques;isni:0000000123207897;1649;Paris;geonames:2988506;95;True
Moreau162_GBOOKS;Arrêt de la cour de parlement de Bordeaux, portant que le roy sera informé des troubles excités de nouveau dans la ville de Bourdeaux et province de Guyenne par la continuation des actes d’hostilité.;;isni:0000000119572170;;;1649;Paris;geonames:2988506;7;True
Moreau1483-bad_GBOOKS;Généreux (le) prince aux Parisiens de mourir (sic) pour le service du roi et de ne point souffrir le retour du cardinal Mazarin.;;;L'Angevin, Nicolas;isni:000000007775504X;1652;Paris;geonames:2988506;7;True
Moreau78_GBOOKS;Amuse badaud (l’) Mazarin, on l’Intrigue des créatures du Mazarin qui sont dans Paris, pratiquée jeudi dernier pour empêcher l’effet de l’assemblée du parlement qui se devait faire ce jour-là.;;;;;1652;Paris;geonames:2988506;8;True
Moreau662_GBOOKS;Cayer contenant les très-humbles remontrances des députés du parlement de Bordeäux , présenté au roi et à la reine régente, le second octobre 1649.;;;;;1649;(s. l. );geonames:2988507;27;True
Moreau825_GBOOKS;Courrier (le) du temps, apportant ce qui se passe de plus secret en la cour des princes de l'Éurope.;;;Sausonius, Jean;;1649;Amsterdam (Paris);geonames:2988507;32;True
Moreau2418_GALL;Masarinade (la), ou Éloge du cardinal Masarin, an vers burlesques, corect e an la bone ortografe.;Scarron, Paul;isni:0000000120990126;Moinêt, Simon;;1663;Amsterdam (Paris);geonames:2988507;20;True
Moreau4027_GBOOKS;Vie (la), mœurs et généalogie de Jules Mazarin, cardinal, où se voient les banqueroutes de son père, les trahisons par lui faites, tant aux Saints Pères, au roi d'Espagne, qu'à l'Empreur, et à présent les troubles en France, et par arrêt du 8 janvier déclaré perturbateur du repos public, ennemi du roi de l'État, et sa poursuite secrète contre MM.le vendôme et Beaufort.;;;Beltrinklt le Jeune, Samuel;viaf:12160725775810182220;1649;Anvers;geonames:2988507;8;False
Moreau3711_GALL;Soupirs françois sur la paix italienne, avec l'augmentation, édition dernière, revue et exactement corrigé;Davenne, François;isni:0000000081559834;;;1649;Anvers;geonames:2988507;12;True
Moreau3710_GALL;Soupirs françois sur la paix italienne;Davenne, François;isni:0000000081559834;;;1649;Anvers;geonames:2988507;8;True
Moreau2732_GBOOKS;Passion (la) de la cour.;;;;;1649;Anvers;geonames:2988507;6;False
Moreau875_GBOOKS;Déclaration de la volonté du roi, étant en son conseil, sur la rébellion de Bordeaux.;;isni:0000000383255772;;isni:0000000123698534;1650;Bourg;geonames:2988507;15;True
Moreau2736_GALL;Pater (le) des jésuites.;;;;;1649;Leyde;geonames:2988507;7;True
M15192_MAZ;;;isni:0000000121755355;Rocolet, Pierre;isni:0000000008903969;1648;Paris;geonames:2988507;3;False
M14405_MAZ;Arrest de la cour de Parlement. Portant deffences au [sic] fermiers des aydes, leurs commis qu'autres, de faire à l'advenir aucunes levées, tant sur le bestail à pied fourché, qu'autres danrées : mentionnez au tarif du 26. jenvier 1641. Du deuxiesme octobre, mil six cens quarante huict.;;isni:0000000121755355;Musnier, Veuve d'André;isni:0000000011194155;1648;Paris;geonames:2988507;4;False
Moreau213_MAZ;Arrêt du parlement, donné toutes les chambres assemblées, pour le rabais des entrées de vin;;isni:0000000121755355;Lesselin, Alexandre;isni:0000000110444682;1648;Paris;geonames:2988507;4;True
Moreau1741_GBOOKS;Journal contenant tout ce qui s'est fait et passé en la cour de Parlement de Paris, toutes les chambres assemblées, sur le sujet des affaires du temps présent.;;;Alliot, Gervais;isni:0000000121202363;1648;Paris;geonames:2988507;331;True
Moreau936_MAZ;Déclaration du roi, portant réglement sur le fait de la justice, police, finances et soulagement des sujets de Sa Majesté, vérifiée en parlement , le 24 octobre 1648.;;isni:0000000055360231;Estienne, Antoine;isni:0000000121209450;1648;Paris;geonames:2988507;19;False
Moreau2suppl62_MAZ;Déclaration du roy pour l'establissement d'une chambre de justice, vériliée en la Cour des aydes le 23 juillet 1648.;;isni:0000000115476931;;isni:0000000123698534;1648;Paris;geonames:2988507;8;True
Moreau207_MAZ;Arrêt de la cour de parlement, les chambres assemblées, le 27 23 septembre 1648;;isni:0000000121755355;;isni:0000000123698534;1648;Paris;geonames:2988507;4;True
Moreau214_MAZ;Arrêt de la cour de parlement, du 17 décembre 1648, portant défenses, sur peine de la vie, à tous gens de guerre, capitaines, soldats et autres , de commettre aucunes exactions et violences à l’endroit des sujets de Sa Majesté, et à eux enjoint de vivre et se contenir suivant les ordonnances.;;isni:0000000121755355;;isni:0000000123698534;1648;Paris;geonames:2988507;6;True
Moreau210_MAZ;Arrêt de la cour de parlement, les chambres assemblées, contre les jurés vendeurs de vins de cette ville de Paris;;isni:0000000121755355;;isni:0000000123698534;1648;Paris;geonames:2988507;4;False
Moreau212_MAZ;Arrêt de la cour de parlement, portant décharge de 58 sols 6 deniers sur chacun muid de vin et autres breuvages à l’équipolent, entrans dans la ville et faubourgs de Paris, lu et publié le 15 octobre 1648;;isni:0000000121755355;;isni:0000000123698534;1648;Paris;geonames:2988507;4;True
Moreau3685_GBOOKS;Sommaire des articles de la paix générale entre l'Empire et la France (traité de Munster).;;;;isni:0000000123698534;1648;Paris;geonames:2988507;20;False
Moreau208_MAZ;Arrêt de la cour de parlement, portant défenses, aux fermiers des aides, leurs commis et autres , de lever à l’avenir, sur le bétail à pied fourché, autres impositions que l’ancien droit, à peine de concussion;;isni:0000000121755355;Guillemot, Jean;isni:0000000356483032;1648;Paris;geonames:2988507;2;False
Moreau211_MAZ;Arrêt de la cour de parlement, portant défenses, aux vendeurs contrôleurs de vins, de recevoir et prendre plus grands droits que les deux tiers de ce dont ils jouissent à présent;;isni:0000000121755355;Guillemot, Jean;isni:0000000359773502;1648;Paris;geonames:2988507;3;False
Moreau2suppl8_MAZ;Arrêt de la Chambre des comptes pour la vérification de la déclaration du roy du 22 octobre 1648, douné le vingt-septième novembre mil six cent quarante huict pour le soulagement du peuple.;;isni:0000000107259769;Mettayer, Michel;isni:0000000366954336;1648;Paris;geonames:2988507;12;False
M15191_MAZ;;;isni:0000000121755355;Mettayer, Michel;isni:0000000366954336;1648;Paris;geonames:2988507;4;False
Moreau209_MAZ;Arrêt de la cour de parlement pour le rabais du pied fourché, avec défense, aux fermiers et leurs commis, de lever ledit droit;;isni:0000000121755355;Mettayer, Michel;isni:0000000366954336;1648;Paris;geonames:2988507;4;False
M14256_MAZ;;;;Mettayer, Michel;isni:0000000366954336;1648;Paris;geonames:2988507;7;True
Moreau2576_GALL;Ode à nosseigneurs de la cour de Parlement de Paris sur l'arrêt d'union donné le ..... 1648, et quelques autres pièces ensuite.;Carpentier de Marigny, Jacques;isni:0000000122493086;Bessin, Nicolas;isni:0000000371172953;1648;Paris;geonames:2988507;8;True
Moreau150_MAZ;Arrêt de la cour des Aydes, sur la requête du procureur général du roi, portant qu'il sera informé des abus commis au fait et exécution des contraintes solidaires des tailles et taxes des huissiers et secrgents, employés au recouvrement d'icelles, avec réglement, sur ce sujet, au soulagement des sujets du roi.;;isni:0000000115476931;;;1648;Paris;geonames:2988507;8;True
Moreau206_MAZ;Arrêts de la cour de parlement, portants (sic) règlement général pour le paiement des rentes constituées sur la ville;;isni:0000000121755355;;;1648;Paris;geonames:2988507;10;True
Moreau2294_GBOOKS;Lettres patentes du roi sur l'établissement d'une chambre de justice pour la recherche et punition des abus et malversations commises (sic) au fait de ses finances, vérifiées en parlement, le 18 juillet 1648.;;isni:0000000383255772;;;1648;Paris;geonames:2988507;7;True
Moreau1669_GALL;Humble (l') remontrance des bons François à nos seigneurs du Parlement.;;;;;1648;Paris;geonames:2988507;7;True
Moreau1036_GBOOKS;Dernières (les) paroles de M. le duc de Châtillon mourant à M. le prince de Condé.;Coligny (De), Gaspard;isni:000000011884471X;Sara, Henry;isni:000000000076698X;1649;Paris;geonames:2988507;7;True
Moreau1241_GBOOKS;Entretien (l’) familier du roi avec monsieur le duc d'Anjou, son frère, fidèlement recueilli par un des officiers de Sa Majesté.;;;Sara, Henri;isni:000000000076698X;1649;Paris;geonames:2988507;8;False
Moreau674_GALL;Censure ou Réfutation du libelle intitulé : Soupirs francois sur la paix italienne.;Davenne, François;isni:0000000081559834;Dupont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;12;True
Moreau2666_MAZ;Panégyrique pour monseigneur le duc de Beaufort, adressé à M. de Palleteau par L. S. D. B. (le sieur de Bonair).;Bonair, Henri Stuart;isni:000000035487606X;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;False
Moreau2603_GBOOKS;Oracle (l') des vertus héroïques et cardinales de monseigneur le prince de Conty.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau1475_GBOOKS;Gémissements (les) des peuples de Paris sur l'éloignement du roi.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;False
Moreau1428_GBOOKS;France (la) espérant la paix.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;True
Moreau798_GBOOKS;Corps (le) mourant et l’esprit vivant de monsieur le duc de Châtillon, mis en vers par M. M. G. A., Elégie.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;False
Moreau2830_MAZ;Pot pourry (le) burlesque de toute l'histoire de ce temps.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau2225_GBOOKS;Lettre envoyée à Dom Francisco Maria del Monacho, sicilien, supérieur des Théatins, prédicateur et confesseur du cardinal Mazarin, où il est sommairement répondu aux libelles diffamatoires jettés à Paris par les ennemis de l'État.;;;Dupont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau1047_GBOOKS;Derniers (les) suppliants aux pieds de la reine.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau1880_GBOOKS;Lettre d'un gentilhomme suédois, envoyée à un seigneur polonois, touchant l'état présent des affaires de France, avec le catalogue de tous les écrits qui ont été imprimés et publiés depuis le 6 janvier 1649 (jour de l'enlèvement du roi hors de la ville de Paris), jus qu'à ce jourd'huy, 1er mars.;;;Pont (Du), Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;False
Moreau1867_GBOOKS;Lettre d'un gentilhomme à monseigneur le duc d'Orléans, pour l'obliger de revenir à Paris et y rétablir le repos et la tranquillité publique.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;False
Moreau2341_GALL;Magnifique (la) entrée de la paix, ou les Superbes portiques et arcs de triomphe préparés à la venue de Leurs Majestés dans la ville de Paris.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau4037_GALL;France (la) prosternée aux pieds de la Vierge pour la remercier de la paix, dédié (sic) à la reine, par monsieur Mercier.;;;Dupont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau4082_GBOOKS;Zèle (le) et l'amour des Parisiens envers leur roi.;;;Dupont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;False
Moreau2948_MAZ;Question cardinale plaisamment traitée ou dasthicotée entre un Hollandois et un Suisse, et décidée par un François.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;False
Moreau36_GALL;L'adieu burlesque de la France a la guerre.;;;Pont (Du), Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;8;True
Moreau91_GALL;L'anti-libelle, en vers burlesques.;;;Pont (Du), Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;12;True
Moreau73_GALL;Ambitieux (l’), ou le Portrait d'OElius Séjanus en la personne du cardinal Mazarin.;;;Du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;True
Moreau1713_GBOOKS;Intentions (les) de Leurs Majestés et des princes conformes à celles du Parlement de Paris.;;;du Pont, Pierre;isni:0000000001796013;1649;Paris;geonames:2988507;7;False
Moreau777_GBOOKS;Conspiration de quatre femmes des plus nobles et des plus illustres de Paris, qui ont comploté l’entière ruine de Mazarin.;;;Quenet, Antoine;isni:0000000001796347;1649;Paris;geonames:2988507;7;True
Moreau2942_GALL;Qu'en dira-t-on (le) de Mazarin, burlesques (sic).;;;Quenet, Antoine;isni:0000000001796347;1649;Paris;geonames:2988507;8;True
Moreau2960_GALL;Raillerie universelle, dédiée aux curieux de ce temps, en vers burlesques.;Picot, Antoine;isni:0000000061436765;Targa, Pierre;isni:000000000183047X;1649;Paris;geonames:2988507;20;True
Moreau2526_MAZ;Nations (les) barbares à la reine d'Angleterre.;;;Targa, Pierre;isni:000000000183047X;1649;Paris;geonames:2988507;4;True
